,title,description,word_timestamp,url
0,Artificial intelligence,"Artificial intelligence (AI) is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans and animals, which involves","219 KB (22,560 words) - 14:05, 30 April 2021",https://en.wikipedia.org/wiki/Artificial_intelligence
1,A.I. Artificial Intelligence,A.I. Artificial Intelligence (also known as A.I.) is a 2001 American science fiction drama film directed by Steven Spielberg. The screenplay by Spielberg,"53 KB (5,039 words) - 12:42, 4 May 2021",https://en.wikipedia.org/wiki/A.I._Artificial_Intelligence
2,Artificial general intelligence,Artificial general intelligence (AGI) is the hypothetical ability of an intelligent agent to understand or learn any intellectual task that a human being,"83 KB (9,011 words) - 11:11, 4 May 2021",https://en.wikipedia.org/wiki/Artificial_general_intelligence
3,Applications of artificial intelligence,"Artificial intelligence, defined as intelligence exhibited by machines, has many applications in today's society. More specifically, it is Weak AI, the","94 KB (10,427 words) - 11:26, 3 May 2021",https://en.wikipedia.org/wiki/Applications_of_artificial_intelligence
4,Artificial intelligence in healthcare,"Artificial intelligence in healthcare, known also as Deep Medicine, is an overarching term used to describe the use of machine-learning algorithms and","62 KB (7,239 words) - 08:57, 22 April 2021",https://en.wikipedia.org/wiki/Artificial_intelligence_in_healthcare
5,Philosophy of artificial intelligence,The philosophy of artificial intelligence is a branch of the philosophy of technology that explores artificial intelligence and its implications for knowledge,"66 KB (8,427 words) - 23:42, 7 April 2021",https://en.wikipedia.org/wiki/Philosophy_of_artificial_intelligence
6,Ethics of artificial intelligence,The ethics of artificial intelligence is the branch of the ethics of technology specific to artificially intelligent systems. It is sometimes divided into,"73 KB (7,507 words) - 21:25, 3 May 2021",https://en.wikipedia.org/wiki/Ethics_of_artificial_intelligence
7,Artificial intelligence in video games,"In video games, artificial intelligence (AI) is used to generate responsive, adaptive or intelligent behaviors primarily in non-player characters (NPCs)","37 KB (4,668 words) - 02:14, 30 April 2021",https://en.wikipedia.org/wiki/Artificial_intelligence_in_video_games
8,Artificial intelligence marketing,Artificial intelligence marketing (AIM) is a form of marketing leveraging artificial intelligence concept and model such as machine learning and Bayesian,"4 KB (431 words) - 02:14, 11 March 2021",https://en.wikipedia.org/wiki/Artificial_intelligence_marketing
9,Outline of artificial intelligence,provided as an overview of and topical guide to artificial intelligence: Artificial intelligence (AI) – intelligence exhibited by machines or software. It is,"35 KB (3,666 words) - 08:35, 18 April 2021",https://en.wikipedia.org/wiki/Outline_of_artificial_intelligence
10,Existential risk from artificial general intelligence,Existential risk from artificial general intelligence is the hypothesis that substantial progress in artificial general intelligence (AGI) could someday,"102 KB (12,085 words) - 13:46, 3 May 2021",https://en.wikipedia.org/wiki/Existential_risk_from_artificial_general_intelligence
11,History of artificial intelligence,"history of Artificial Intelligence (AI) began in antiquity, with myths, stories and rumors of artificial beings endowed with intelligence or consciousness","111 KB (13,946 words) - 04:24, 3 May 2021",https://en.wikipedia.org/wiki/History_of_artificial_intelligence
12,Timeline of artificial intelligence,"This is a timeline of artificial intelligence. Timeline of machine translation Timeline of machine learning McCorduck 2004, pp. 4–5 McCorduck (2004, pp","66 KB (1,982 words) - 02:43, 13 April 2021",https://en.wikipedia.org/wiki/Timeline_of_artificial_intelligence
13,Explainable artificial intelligence,Explainable AI (XAI) is artificial intelligence (AI) in which the results of the solution can be understood by humans. It contrasts with the concept of,"36 KB (3,853 words) - 19:54, 25 April 2021",https://en.wikipedia.org/wiki/Explainable_artificial_intelligence
14,Friendly artificial intelligence,Friendly artificial intelligence (also friendly AI or FAI) refers to hypothetical artificial general intelligence (AGI) that would have a positive (benign),"21 KB (2,519 words) - 07:33, 15 February 2021",https://en.wikipedia.org/wiki/Friendly_artificial_intelligence
15,Artificial intelligence (disambiguation),"Artificial intelligence is the intelligence exhibited by machines and software. Artificial intelligence may also refer to: Artificial Intelligence, a 1997","1 KB (149 words) - 04:27, 13 December 2020",https://en.wikipedia.org/wiki/Artificial_intelligence_(disambiguation)
16,Regulation of artificial intelligence,regulation of artificial intelligence is the development of public sector policies and laws for promoting and regulating artificial intelligence (AI); it is,"39 KB (4,338 words) - 23:38, 3 May 2021",https://en.wikipedia.org/wiki/Regulation_of_artificial_intelligence
17,Progress in artificial intelligence,"Artificial intelligence applications have been used in a wide range of fields including medical diagnosis, stock trading, robot control, law, scientific","33 KB (3,078 words) - 13:33, 19 April 2021",https://en.wikipedia.org/wiki/Progress_in_artificial_intelligence
18,Artificial intelligence arms race,military artificial intelligence arms race is a competition between two or more states to have their military forces equipped with the best artificial intelligence,"43 KB (4,812 words) - 22:05, 4 March 2021",https://en.wikipedia.org/wiki/Artificial_intelligence_arms_race
